iter	Logloss
0	0.6058305508
1	0.5477161033
2	0.4927284651
3	0.4451052786
4	0.3934844338
5	0.3558451391
6	0.3201095312
7	0.3017343448
8	0.2782200036
9	0.2590929852
10	0.2467708177
11	0.2292636138
12	0.2146465239
13	0.206402449
14	0.1909995359
15	0.1856870045
16	0.1761280511
17	0.1681905807
18	0.1616833095
19	0.1536849999
20	0.146443456
21	0.1416135622
22	0.1366682347
23	0.1318062104
24	0.1273499631
25	0.1247472355
26	0.1222613807
27	0.1190232478
28	0.1165125133
29	0.1147780427
30	0.111872213
31	0.1101827898
32	0.1080989663
33	0.1070181269
34	0.1060376549
35	0.1051457397
36	0.1034520357
37	0.1022595118
38	0.1007045221
39	0.09928786636
40	0.09803330314
41	0.09752943388
42	0.09687721242
43	0.09629979863
44	0.09577684438
45	0.09471001094
46	0.09403869033
47	0.09369851625
48	0.09338304148
49	0.0927795933
50	0.09191583727
51	0.09114319192
52	0.09083898375
53	0.09024870022
54	0.08966121069
55	0.08944987555
56	0.08881840078
57	0.08826829769
58	0.08762009353
59	0.0873131915
60	0.08727325368
61	0.08686438319
62	0.08605153587
63	0.08576206443
64	0.08540688813
65	0.08518042624
66	0.08473560935
67	0.08416577354
68	0.08351593057
69	0.08324774001
70	0.08281784155
71	0.08235501353
72	0.08171841404
73	0.08160838513
74	0.08122751153
75	0.08086255892
76	0.08064171357
77	0.08040043728
78	0.08027968022
79	0.07992712718
80	0.07943588699
81	0.07904032345
82	0.07868030764
83	0.07845646058
84	0.07817361242
85	0.077727917
86	0.07745544237
87	0.07707521383
88	0.07684720289
89	0.07607666371
90	0.07577690656
91	0.07575551095
92	0.07553382946
93	0.07504384437
94	0.07476376612
95	0.07446004411
96	0.07423538857
97	0.0740220064
98	0.07374527981
99	0.07341984105
100	0.07322949072
101	0.07315667264
102	0.07272495033
103	0.07261750043
104	0.07239613735
105	0.07195123683
106	0.07173890165
107	0.07154901587
108	0.07108445696
109	0.07061843087
110	0.07061699779
111	0.07055213519
112	0.07036045387
113	0.07034127537
114	0.07008636738
115	0.0698575486
116	0.06972079327
117	0.0695165462
118	0.06950739573
119	0.06940925815
120	0.06890044205
121	0.06869264387
122	0.06854561488
123	0.06841793788
124	0.06840205363
125	0.0682681816
126	0.06804748866
127	0.06766243411
128	0.06740881179
129	0.06740633812
130	0.06718241322
131	0.06703765013
132	0.0669277661
133	0.06685445123
134	0.06677148819
135	0.06649728975
136	0.066410594
137	0.06640102856
138	0.0662329938
139	0.06584326037
140	0.06581344901
141	0.06544043124
142	0.06520028562
143	0.06509553386
144	0.06496199035
145	0.06475033972
146	0.06471346976
147	0.064525744
148	0.06424127963
149	0.0642386139
150	0.06407416795
151	0.0639489942
152	0.06380637391
153	0.06358987354
154	0.06346314396
155	0.0633204026
156	0.06322638484
157	0.06322209757
158	0.06300574737
159	0.06289144121
160	0.06267274759
161	0.06267100948
162	0.06249620126
163	0.06221797184
164	0.06194129676
165	0.06170243996
166	0.06153263726
167	0.06130189113
168	0.06099240143
169	0.06094259621
170	0.06064362025
171	0.06050183232
172	0.06040142069
173	0.0602041227
174	0.06005341711
175	0.05992736662
176	0.0596486699
177	0.05945711404
178	0.05936086942
179	0.05927304404
180	0.05909484387
181	0.05892443043
182	0.05875797196
183	0.05873041268
184	0.05833965344
185	0.05830339248
186	0.05828332334
187	0.05806870462
188	0.05798968862
189	0.0579701948
190	0.05796929113
191	0.0579611409
192	0.05778342448
193	0.05768278528
194	0.05764983531
195	0.05763551943
196	0.05739189781
197	0.05714321045
198	0.05700981334
199	0.056896341
200	0.05680133367
201	0.05649408409
202	0.05641286919
203	0.05624880578
204	0.05603654946
205	0.05581518113
206	0.05567353445
207	0.05565837041
208	0.05527413576
209	0.05513279964
210	0.05497308616
211	0.05472170287
212	0.05470787297
213	0.05454891221
214	0.05453372181
215	0.05441994087
216	0.05440032531
217	0.05427222925
218	0.05404131991
219	0.05401039801
220	0.05374186621
221	0.05362957759
222	0.05353684921
223	0.05349150719
224	0.05326185388
225	0.05304579469
226	0.05301321191
227	0.05282677418
228	0.05249235901
229	0.05249234129
230	0.05232765722
231	0.05219349047
232	0.05203977383
233	0.05195727951
234	0.05191882669
235	0.05175611118
236	0.05172470035
237	0.05171597393
238	0.0515801544
239	0.05153956395
240	0.05128212068
241	0.05109855691
242	0.05105653105
243	0.05094703649
244	0.05083108624
245	0.05060641749
246	0.05025995119
247	0.0501077586
248	0.04999099007
249	0.04999097403
250	0.04988870339
251	0.04956322927
252	0.04933716462
253	0.04921362736
254	0.04914977114
255	0.04914868201
256	0.04909935097
257	0.04882843604
258	0.04859998989
259	0.04842588899
260	0.04830607172
261	0.0480943689
262	0.04785004084
263	0.0477375545
264	0.04743859508
265	0.04715480041
266	0.04704161152
267	0.04691983089
268	0.04683817582
269	0.04666506114
270	0.04645402911
271	0.04643254415
272	0.04621989418
273	0.0461313124
274	0.04606879837
275	0.04588027131
276	0.04573444635
277	0.04551018834
278	0.0452153721
279	0.04511300839
280	0.04498386016
281	0.04488818049
282	0.04476389163
283	0.044563725
284	0.04441685406
285	0.04430426714
286	0.04414913341
287	0.04402054124
288	0.04391412516
289	0.04379943922
290	0.04370553898
291	0.04369159278
292	0.04349781204
293	0.04333395457
294	0.04328556681
295	0.04314240197
296	0.04303176041
297	0.04278887355
298	0.04260553075
299	0.04248408976
300	0.04238902886
301	0.04224295951
302	0.04207400267
303	0.04197024999
304	0.04186584909
305	0.0416637796
306	0.04158055594
307	0.0414192779
308	0.0413036026
309	0.04120118632
310	0.04112625575
311	0.04102392563
312	0.04081100936
313	0.04069897558
314	0.04061710411
315	0.04053466374
316	0.04040685326
317	0.04011363557
318	0.03998189902
319	0.03984510777
320	0.03977136439
321	0.03971171734
322	0.0396409275
323	0.03948148617
324	0.03932740838
325	0.03911165577
326	0.03902559671
327	0.03889619428
328	0.03885975628
329	0.03864735556
330	0.03854310246
331	0.03840758715
332	0.0381671041
333	0.03803594667
334	0.03791584915
335	0.03785191814
336	0.03773404647
337	0.03750606499
338	0.0373818773
339	0.03726168368
340	0.03718856548
341	0.03699443726
342	0.03694004534
343	0.03680279907
344	0.03670976661
345	0.03664436167
346	0.03653813006
347	0.03650774989
348	0.03638991132
349	0.03623680419
350	0.03603645851
351	0.03594123234
352	0.03578941548
353	0.0356357436
354	0.03550981053
355	0.03535069209
356	0.03528140269
357	0.03521214458
358	0.03512002666
359	0.03493318901
360	0.03477711437
361	0.03463525039
362	0.03447342479
363	0.03442930737
364	0.034270471
365	0.034207932
366	0.03405176977
367	0.03391799788
368	0.03386214141
369	0.03380520262
370	0.03371025393
371	0.03364783626
372	0.0335715882
373	0.03344568971
374	0.03340849049
375	0.03324064974
376	0.03315102757
377	0.0330166652
378	0.03289696982
379	0.03278446293
380	0.03265887364
381	0.03245631437
382	0.03237825071
383	0.03227850094
384	0.03222871889
385	0.03208235567
386	0.03198712105
387	0.03188722016
388	0.03179481648
389	0.03165930511
390	0.03159973432
391	0.03157130475
392	0.03144681523
393	0.03134001664
394	0.03127472656
395	0.03119278413
396	0.03109068447
397	0.0310224903
398	0.03088392039
399	0.03073936982
400	0.03063477612
401	0.03058674755
402	0.03050023582
403	0.03045044621
404	0.03037189223
405	0.03025472028
406	0.03014213123
407	0.03005985558
408	0.02996838916
409	0.02988435036
410	0.02981095175
411	0.02965770881
412	0.02953609767
413	0.0295053937
414	0.02941185938
415	0.0293320141
416	0.02927980361
417	0.0291937801
418	0.02911381064
419	0.02901390667
420	0.02894665141
421	0.02884434993
422	0.02878237724
423	0.02866537451
424	0.0285508576
425	0.02843099701
426	0.02835705706
427	0.02827288639
428	0.02816452424
429	0.02809706761
430	0.02798744644
431	0.02789230385
432	0.02779665589
433	0.02776407131
434	0.0276617554
435	0.02760420712
436	0.02752043574
